sample,video,frame,qp,initialization,objective,step,lambda_p,checkpoint,zero_start_delta,mse,psnr,ms_ssim,lpips,delta_latent_mean,delta_latent_std,delta_latent_l2,delta_latent_rms,delta_latent_max_abs,ell_start_l2,relative_delta_l2,objective_value,transmittable,single_frame_diagnostic,kind,nondominated_psnr_lpips,dominated_by_count,mode
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,2.0,ORIGINAL_START,MSE_ONLY,150.0,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.01196532288026672,19.220755775999653,0.840389209555546,0.2344711571931839,-0.013934085592987967,0.08906253962385136,34.54837429392395,0.09014596333482051,0.20542262494564056,153.1258001292568,0.2256208572608987,0.011965323239564896,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,2.0,ORIGINAL_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.011965819952954091,19.220575361778096,0.8409744226878638,0.21796998381614685,-0.013646573981371904,0.08892935571157871,34.48106083526248,0.08997032448927567,0.20303627848625183,153.1258001292568,0.22518126146055253,0.012183791026473045,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,2.0,ZERO_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.00994525675896065,20.023840001151765,0.870163815891346,0.2697720527648926,0.00488310825255108,0.09495847886974461,36.44085387389048,0.09508394951547745,0.21475304663181305,153.30805039200612,0.2376969362059711,0.010215029120445251,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,0.0,ORIGINAL_START,MSE_ONLY,150.0,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.012395635871668267,19.067311898744986,0.8403324219772563,0.23723971843719482,-0.011088516414167937,0.08872255766253088,34.267387049084725,0.08941279234230631,0.2056761384010315,152.04595763378038,0.22537519301645326,0.012395637109875679,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,0.0,ORIGINAL_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.012396144538403434,19.067133685520613,0.8408227873166695,0.2197556048631668,-0.010620495132814012,0.0885205708959485,34.16874385691037,0.08915540582943228,0.21191895008087158,152.04595763378038,0.2247264208050147,0.012615900486707687,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,0.0,ZERO_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.010275836807452057,19.881828014654264,0.8694557865833851,0.2780449092388153,0.008099830958073127,0.09456654611804194,36.3752595392704,0.0949127963250747,0.20821040868759155,152.06971983685204,0.23920120046446847,0.010553881525993347,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,1.0,ORIGINAL_START,MSE_ONLY,150.0,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.012365314669768429,19.077948273329955,0.8307284632893794,0.23584872484207153,-0.010708010713919601,0.0891474579049138,34.41128285506474,0.08978825504684781,0.2150699496269226,151.8038602618031,0.22668252833438196,0.012365314178168774,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,1.0,ORIGINAL_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.012366854665013558,19.07740743000244,0.831237984372971,0.2185032069683075,-0.010375001964706242,0.08894993352816126,34.32110341003982,0.08955295271755122,0.21600914001464844,151.8038602618031,0.22608847595080359,0.012585358694195747,False,True,ORACLE,True,0.0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,1.0,ZERO_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.010286887527705808,19.877160085238813,0.8602201965743733,0.28020521998405457,0.00552221934338076,0.09468207202781669,36.348500089044876,0.09484297375112757,0.21448899805545807,151.67879717894388,0.23964127330310073,0.010567093268036842,False,True,ORACLE,True,0.0,
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,2.0,ORIGINAL_START,MSE_LPIPS,150.0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.0005759905485363823,32.395846428826424,0.9410169258294703,0.0916803777217865,-0.0026420486095387378,0.06346230489063827,24.34295005534283,0.0635172776722011,0.18655891716480255,157.35791116047167,0.15469797403778565,0.000667670916300267,False,True,ORACLE,True,0.0,
