sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ZERO_START,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,1.0285830952742838e-05,0.0,0.0,0.5144258290529251,,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.014896270339550982,0.0,0.0,0.0,-0.5474024993127102,-0.03462836908027034,0.06683674454689026,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ZERO_START,ZERO_START,25,0.0,False,physical prequantizer u,119.05750818293015,1.8639175915054953,22.530933201504876,3.7625368627410527e-06,0.0,0.0,7.924734026193619,,0.013967440499535237,18.54883170032488,0.7924489366654331,0.369403600692749,0.014336844100227987,0.014336844100227987,0.16805761548036102,0.00810368135564199,-0.008338570594787598,-0.3793448838323492,-0.02652468772462835,0.05849817395210266,-0.3554476662119157,-0.02543831662780227,0.0572056770324707,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ZERO_START,ZERO_START,50,0.0,False,physical prequantizer u,208.16495073781002,3.2589487176140035,25.616957794721017,2.9788243271520445e-06,0.0,0.0,14.495123267173767,,0.013684569760566744,18.637688521485597,0.7980996570925001,0.3607330024242401,0.014045302762990984,0.014045302762990984,0.25691443664107894,0.013754401782708925,-0.01700916886329651,-0.2904880626716313,-0.020873967297561413,0.04982757568359375,-0.2665908450511978,-0.019787596200735336,0.04853507876396179,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ZERO_START,ZERO_START,100,0.0,False,physical prequantizer u,361.94764086274836,5.666510120230422,30.322818617171965,2.2298445707960864e-06,0.0,0.0,26.550879262387753,,0.013276659100892731,18.76911195795256,0.8060898277567713,0.35019803047180176,0.013626857131364533,0.013626857131364533,0.3883378731080427,0.021744572446980137,-0.027544140815734863,-0.15906462620466755,-0.012883796633290201,0.039292603731155396,-0.13516740858423404,-0.011797425536464123,0.03800010681152344,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ZERO_START,ZERO_START,150,0.0,False,physical prequantizer u,483.20990710564564,7.5649445380638465,33.283898752480496,1.6483413911572625e-06,0.0,0.0,38.812693402171135,,0.013013491120254995,18.85606179927829,0.8111486852254058,0.34279659390449524,0.01335628771415949,0.01335628771415949,0.4752877144337724,0.026803429915614685,-0.03494557738304138,-0.07211478487893785,-0.007824939164655653,0.03189116716384888,-0.048217567258504346,-0.006738568067829576,0.03059867024421692,True,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ZERO_START,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,1.2807282815878389e-05,0.0,0.0,0.4509071186184883,,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.015319703156959736,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ZERO_START,ZERO_START,25,0.0,False,physical prequantizer u,112.66324203376509,1.763811471848729,23.448474448317768,4.180932904357629e-06,0.0,0.0,7.657116524875164,,0.014353003797032988,18.430572002567928,0.7912134867077404,0.38933461904525757,0.014742338416078245,0.014742338416078245,0.1723166879397624,0.0047581280026529615,0.0035737454891204834,-0.4456546269410744,-0.030090510575238483,0.06766891479492188,-0.41822239333670197,-0.028835624771890167,0.06633621454238892,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ZERO_START,ZERO_START,50,0.0,False,physical prequantizer u,199.78010025442507,3.1276787913686857,26.320773912350926,3.2705195121215585e-06,0.0,0.0,14.543621264398098,,0.014057845713484285,18.52081227426429,0.7968575181831982,0.3794962167739868,0.014437341930258273,0.014437341930258273,0.26255695963612524,0.01040215947811074,-0.0062646567821502686,-0.35541435524471154,-0.024446479099780705,0.05783051252365112,-0.32798212164033913,-0.02319159329643239,0.056497812271118164,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ZERO_START,ZERO_START,100,0.0,False,physical prequantizer u,352.18724950447546,5.513705266254219,30.36451746489376,2.4015465409470274e-06,0.0,0.0,26.871698796749115,,0.013622760712710687,18.65734871806445,0.8050388012883057,0.3671824634075165,0.013989943176118203,0.013989943176118203,0.39909340343628585,0.018583442583218313,-0.018578410148620605,-0.21887791144455093,-0.01626519599467313,0.045516759157180786,-0.19144567784017852,-0.015010310191324816,0.04418405890464783,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ZERO_START,ZERO_START,150,0.0,False,physical prequantizer u,473.8904612565732,7.419042953810301,32.948781825812,1.8421702848787244e-06,0.0,0.0,38.64195577055216,,0.013341993494635492,18.74779275439139,0.810049662832561,0.35953229665756226,0.013701525791293055,0.013701525791293055,0.4895374397632253,0.023594304127473542,-0.02622857689857483,-0.1284338751176115,-0.011254334450417902,0.03786659240722656,-0.1010016415132391,-0.009999448647069586,0.036533892154693604,True,True
